SQ_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO;possui_dados_patrimoniais;possui_dados_legislativos;status_dados_legislativos;fontes_legislativas;status_dados_patrimoniais;cobertura_geral
280002552484;CLARIANA ZACARKIM BARAO;CLARIANA BARAO;DC;True;False;SEM_DADOS_NA_BASE_COLETADA;;DADOS_DISPONIVEIS;APENAS_PATRIMONIO
280002551975;EDMILSON SILVA COSTA;EDMILSON COSTA;PCB;True;False;SEM_DADOS_NA_BASE_COLETADA;;DADOS_DISPONIVEIS;APENAS_PATRIMONIO
280002551547;AUGUSTO JORGE CURY;ESCRITOR AUGUSTO CURY;AVANTE;True;False;SEM_DADOS_NA_BASE_COLETADA;;DADOS_DISPONIVEIS;APENAS_PATRIMONIO
280002551544;FLAVIO NANTES BOLSONARO;FLAVIO BOLSONARO;PL;True;True;DADOS_DISPONIVEIS;SENADO_FEDERAL;DADOS_DISPONIVEIS;PATRIMONIO_E_LEGISLATIVO
280002541457;HERTZ DA CONCEICAO DIAS;HERTZ DIAS;PSTU;False;False;SEM_DADOS_NA_BASE_COLETADA;;SEM_DADOS_NA_BASE_COLETADA;SEM_DADOS_ANALITICOS
280002542548;LUIZ INÁCIO LULA DA SILVA;LULA;PT;True;False;SEM_DADOS_NA_BASE_COLETADA;;DADOS_DISPONIVEIS;APENAS_PATRIMONIO
280002553884;PABLO HENRIQUE COSTA MARCAL;PABLO MARÇAL;PRTB;True;False;SEM_DADOS_NA_BASE_COLETADA;;DADOS_DISPONIVEIS;APENAS_PATRIMONIO
280002540694;RENAN ANTONIO FERREIRA DOS SANTOS;RENAN SANTOS;MISSÃO;True;False;SEM_DADOS_NA_BASE_COLETADA;;DADOS_DISPONIVEIS;APENAS_PATRIMONIO
280002551932;RONALDO RAMOS CAIADO;RONALDO CAIADO;PSD;True;True;DADOS_DISPONIVEIS;CAMARA_DOS_DEPUTADOS_E_SENADO_FEDERAL;DADOS_DISPONIVEIS;PATRIMONIO_E_LEGISLATIVO
280002552487;RUI COSTA PIMENTA;RUI COSTA PIMENTA;PCO;False;False;SEM_DADOS_NA_BASE_COLETADA;;SEM_DADOS_NA_BASE_COLETADA;SEM_DADOS_ANALITICOS
280002538811;SAMARA MARTINS DA SILVA FEITOSA;SAMARA;UP;True;False;SEM_DADOS_NA_BASE_COLETADA;;DADOS_DISPONIVEIS;APENAS_PATRIMONIO
280002548139;WILSON GRASSI JUNIOR;VETERINÁRIO WILSON GRASSI;DEMOCRATA;True;False;SEM_DADOS_NA_BASE_COLETADA;;DADOS_DISPONIVEIS;APENAS_PATRIMONIO
280002539826;ROMEU ZEMA NETO;ZEMA;NOVO;True;False;SEM_DADOS_NA_BASE_COLETADA;;DADOS_DISPONIVEIS;APENAS_PATRIMONIO
