SQ_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO;projetos_camara;aprovados_camara;materias_senado;tramitando_senado;nao_tramitando_senado
280002552484;CLARIANA ZACARKIM BARAO;CLARIANA BARAO;DC;0;0.0;0;0.0;0.0
280002551975;EDMILSON SILVA COSTA;EDMILSON COSTA;PCB;0;0.0;0;0.0;0.0
280002551547;AUGUSTO JORGE CURY;ESCRITOR AUGUSTO CURY;AVANTE;0;0.0;0;0.0;0.0
280002551544;FLAVIO NANTES BOLSONARO;FLAVIO BOLSONARO;PL;0;0.0;444;183.0;261.0
280002541457;HERTZ DA CONCEICAO DIAS;HERTZ DIAS;PSTU;0;0.0;0;0.0;0.0
280002542548;LUIZ INÁCIO LULA DA SILVA;LULA;PT;0;0.0;0;0.0;0.0
280002553884;PABLO HENRIQUE COSTA MARCAL;PABLO MARÇAL;PRTB;0;0.0;0;0.0;0.0
280002540694;RENAN ANTONIO FERREIRA DOS SANTOS;RENAN SANTOS;MISSÃO;0;0.0;0;0.0;0.0
280002551932;RONALDO RAMOS CAIADO;RONALDO CAIADO;PSD;144;5.0;402;5.0;397.0
280002552487;RUI COSTA PIMENTA;RUI COSTA PIMENTA;PCO;0;0.0;0;0.0;0.0
280002538811;SAMARA MARTINS DA SILVA FEITOSA;SAMARA;UP;0;0.0;0;0.0;0.0
280002548139;WILSON GRASSI JUNIOR;VETERINÁRIO WILSON GRASSI;DEMOCRATA;0;0.0;0;0.0;0.0
280002539826;ROMEU ZEMA NETO;ZEMA;NOVO;0;0.0;0;0.0;0.0
