candidato;setor;projetos_apresentados;projetos_aprovados
LUIZ INÁCIO LULA DA SILVA;ADMINISTRACAO_PUBLICA;1;0
LUIZ INÁCIO LULA DA SILVA;OUTROS;3;0
LUIZ INÁCIO LULA DA SILVA;PREVIDENCIA_E_ASSISTENCIA;1;0
LUIZ INÁCIO LULA DA SILVA;TRABALHO;1;0
RONALDO CAIADO;ADMINISTRACAO_PUBLICA;50;1
RONALDO CAIADO;AGRICULTURA;11;1
RONALDO CAIADO;CIENCIA_E_TECNOLOGIA;1;0
RONALDO CAIADO;COMUNICACOES;1;0
RONALDO CAIADO;CULTURA;4;0
RONALDO CAIADO;DEFESA_E_SEGURANCA;6;0
RONALDO CAIADO;DESENVOLVIMENTO_URBANO;1;0
RONALDO CAIADO;DIREITO;9;0
RONALDO CAIADO;DIREITOS_HUMANOS;5;1
RONALDO CAIADO;ECONOMIA;11;1
RONALDO CAIADO;EDUCACAO;4;0
RONALDO CAIADO;ENERGIA_E_RECURSOS;2;0
RONALDO CAIADO;FINANCAS_PUBLICAS;7;0
RONALDO CAIADO;MEIO_AMBIENTE;4;0
RONALDO CAIADO;OUTROS;10;0
RONALDO CAIADO;POLITICA_E_ELEICOES;9;1
RONALDO CAIADO;PREVIDENCIA_E_ASSISTENCIA;3;0
RONALDO CAIADO;RELACOES_INTERNACIONAIS;1;0
RONALDO CAIADO;TRABALHO;4;0
RONALDO CAIADO;TRANSPORTE;1;0
