SQ_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;DS_GRAU_INSTRUCAO;DS_OCUPACAO;ST_DECLARAR_BENS;quantidade_bens;patrimonio_total;qtd_imoveis;valor_imoveis;qtd_veiculos;valor_veiculos;qtd_investimentos;valor_investimentos;qtd_participacoes;valor_participacoes;qtd_contas;valor_contas;qtd_bens_valor;valor_bens_valor;qtd_outros;valor_outros
280002548139;WILSON GRASSI JUNIOR;VETERINÁRIO WILSON GRASSI;DEMOCRATA;MASCULINO;BRANCA;SUPERIOR COMPLETO;VETERINÁRIO;S;1;50000000.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;50000000.0
280002538811;SAMARA MARTINS DA SILVA FEITOSA;SAMARA;UP;FEMININO;PRETA;SUPERIOR COMPLETO;ODONTÓLOGO;S;2;33000.0;0;0.0;1;29000.0;1;4000.0;0;0.0;0;0.0;0;0.0;0;0.0
280002542548;LUIZ INÁCIO LULA DA SILVA;LULA;PT;MASCULINO;BRANCA;ENSINO FUNDAMENTAL COMPLETO;TORNEIRO MECÂNICO;S;18;4775650.640000001;5;739223.52;1;50000.0;9;3701457.09;1;49000.0;1;56671.07;0;0.0;1;179298.96
280002541457;HERTZ DA CONCEICAO DIAS;HERTZ DIAS;PSTU;MASCULINO;PRETA;SUPERIOR COMPLETO;PROFESSOR DE ENSINO FUNDAMENTAL;N;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
280002551975;EDMILSON SILVA COSTA;EDMILSON COSTA;PCB;MASCULINO;PARDA;SUPERIOR COMPLETO;APOSENTADO (EXCETO SERVIDOR PÚBLICO);S;4;454485.68;1;350000.0;0;0.0;3;104485.68;0;0.0;0;0.0;0;0.0;0;0.0
280002551544;FLAVIO NANTES BOLSONARO;FLAVIO BOLSONARO;PL;MASCULINO;BRANCA;SUPERIOR COMPLETO;SENADOR;S;9;8186555.829999999;1;6226043.8;1;133000.0;3;1202532.8;3;56249.0;1;568730.23;0;0.0;0;0.0
280002540694;RENAN ANTONIO FERREIRA DOS SANTOS;RENAN SANTOS;MISSÃO;MASCULINO;BRANCA;SUPERIOR INCOMPLETO;EMPRESÁRIO;S;4;795089.0;0;0.0;0;0.0;0;0.0;2;219760.0;1;300000.0;0;0.0;1;275329.0
280002552487;RUI COSTA PIMENTA;RUI COSTA PIMENTA;PCO;MASCULINO;BRANCA;SUPERIOR COMPLETO;JORNALISTA E REDATOR;N;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
280002551932;RONALDO RAMOS CAIADO;RONALDO CAIADO;PSD;MASCULINO;BRANCA;SUPERIOR COMPLETO;MÉDICO;S;14;52557930.98;5;36567064.95999999;1;7100.0;4;4292156.74;2;1157247.39;1;44881.89;0;0.0;1;10489480.0
280002551547;AUGUSTO JORGE CURY;ESCRITOR AUGUSTO CURY;AVANTE;MASCULINO;BRANCA;SUPERIOR COMPLETO;ESCRITOR E CRÍTICO;S;56;242281162.52;27;19487720.759999998;0;0.0;7;39243068.0;9;54780522.07;10;3274227.7399999998;0;0.0;3;125495623.95
280002552484;CLARIANA ZACARKIM BARAO;CLARIANA BARAO;DC;FEMININO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;S;7;1820760.17;5;1444602.3900000001;1;376006.08;0;0.0;0;0.0;1;151.7;0;0.0;0;0.0
280002539826;ROMEU ZEMA NETO;ZEMA;NOVO;MASCULINO;BRANCA;SUPERIOR COMPLETO;EMPRESÁRIO;S;18;178707610.09;2;774864.25;0;0.0;8;62478539.48;6;115444343.16;2;9863.2;0;0.0;0;0.0
280002553884;PABLO HENRIQUE COSTA MARCAL;PABLO MARÇAL;PRTB;MASCULINO;BRANCA;SUPERIOR COMPLETO;DIRETOR DE EMPRESAS;S;43;149986151.74;4;6026910.33;0;0.0;0;0.0;10;1295890.26;3;97.10000000000001;0;0.0;26;142663254.05
