idProposicao;idDeputadoAutor;nomeAutor;siglaPartidoAutor;siglaUFAutor;ordemAssinatura;proponente;ano;candidato
246705;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1987;LUIZ INÁCIO LULA DA SILVA
246663;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1987;LUIZ INÁCIO LULA DA SILVA
246632;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1987;LUIZ INÁCIO LULA DA SILVA
182438;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1988;LUIZ INÁCIO LULA DA SILVA
239364;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1989;LUIZ INÁCIO LULA DA SILVA
215151;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1989;LUIZ INÁCIO LULA DA SILVA
213469;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1989;LUIZ INÁCIO LULA DA SILVA
210040;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1989;LUIZ INÁCIO LULA DA SILVA
205247;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1989;LUIZ INÁCIO LULA DA SILVA
202054;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1989;LUIZ INÁCIO LULA DA SILVA
22182;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1989;LUIZ INÁCIO LULA DA SILVA
240076;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1990;LUIZ INÁCIO LULA DA SILVA
241327;74813.0;RONALDO CAIADO;;;1;1;1991;RONALDO CAIADO
241325;74813.0;RONALDO CAIADO;;;1;1;1991;RONALDO CAIADO
239850;74813.0;RONALDO CAIADO;PSD;GO;1;1;1991;RONALDO CAIADO
238745;74813.0;RONALDO CAIADO;PSD;GO;1;1;1991;RONALDO CAIADO
238636;74813.0;RONALDO CAIADO;PSD;GO;1;1;1991;RONALDO CAIADO
233645;74813.0;RONALDO CAIADO;;;1;1;1991;RONALDO CAIADO
198452;74813.0;RONALDO CAIADO;;;1;1;1991;RONALDO CAIADO
190120;74813.0;RONALDO CAIADO;;;1;1;1991;RONALDO CAIADO
190106;74813.0;RONALDO CAIADO;;;1;1;1991;RONALDO CAIADO
190092;74813.0;RONALDO CAIADO;;;1;1;1991;RONALDO CAIADO
188147;74813.0;RONALDO CAIADO;;;1;1;1991;RONALDO CAIADO
186976;74813.0;RONALDO CAIADO;PSD;GO;1;1;1991;RONALDO CAIADO
242182;74813.0;RONALDO CAIADO;PFL;GO;1;1;1992;RONALDO CAIADO
244845;74813.0;RONALDO CAIADO;PFL;GO;1;1;1993;RONALDO CAIADO
238271;74813.0;RONALDO CAIADO;PFL;GO;1;1;1993;RONALDO CAIADO
219769;74813.0;RONALDO CAIADO;PFL;GO;1;1;1993;RONALDO CAIADO
219761;74813.0;RONALDO CAIADO;PFL;GO;1;1;1993;RONALDO CAIADO
218273;74813.0;RONALDO CAIADO;PFL;GO;1;1;1993;RONALDO CAIADO
218264;74813.0;RONALDO CAIADO;PFL;GO;1;1;1993;RONALDO CAIADO
218255;74813.0;RONALDO CAIADO;PFL;GO;1;1;1993;RONALDO CAIADO
160896;74813.0;RONALDO CAIADO;PFL;GO;1;1;1993;RONALDO CAIADO
160893;74813.0;RONALDO CAIADO;PFL;GO;1;1;1993;RONALDO CAIADO
160611;74813.0;RONALDO CAIADO;PFL;GO;1;1;1993;RONALDO CAIADO
25635;74813.0;Ronaldo Caiado;PFL;GO;1;1;1993;RONALDO CAIADO
253883;74813.0;Ronaldo Caiado;PFL;GO;1;1;1999;RONALDO CAIADO
161026;74813.0;RONALDO RAMOS CAIADO;PFL;GO;1;1;1999;RONALDO CAIADO
90360;74813.0;Ronaldo Caiado;PFL;GO;1;1;1999;RONALDO CAIADO
90359;74813.0;Ronaldo Caiado;PFL;GO;1;1;1999;RONALDO CAIADO
90358;74813.0;Ronaldo Caiado;PFL;GO;1;1;1999;RONALDO CAIADO
41111;74813.0;RONALDO RAMOS CAIADO;PFL;GO;1;1;1999;RONALDO CAIADO
14879;74813.0;Ronaldo Caiado;PFL;GO;1;1;1999;RONALDO CAIADO
84902;74813.0;Ronaldo Caiado;PFL;GO;1;1;2000;RONALDO CAIADO
58553;74813.0;Ronaldo Caiado;PFL;GO;1;1;2000;RONALDO CAIADO
85883;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
63454;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
63453;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
63451;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
45608;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
45607;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
45606;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
45600;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
45599;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
45596;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
45594;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
45592;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
37141;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
35154;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
31550;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
31338;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
31336;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
30704;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
30239;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
28598;74813.0;Ronaldo Caiado;PFL;GO;2;0;2001;RONALDO CAIADO
28582;74813.0;Ronaldo Caiado;PFL;GO;2;0;2001;RONALDO CAIADO
28579;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
28574;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
27876;74813.0;Ronaldo Caiado;PFL;GO;8;0;2001;RONALDO CAIADO
27875;74813.0;Ronaldo Caiado;PFL;GO;9;0;2001;RONALDO CAIADO
27398;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
27213;74813.0;Ronaldo Caiado;PFL;GO;18;0;2001;RONALDO CAIADO
27211;74813.0;Ronaldo Caiado;PFL;GO;18;0;2001;RONALDO CAIADO
27210;74813.0;Ronaldo Caiado;PFL;GO;16;0;2001;RONALDO CAIADO
27209;74813.0;Ronaldo Caiado;PFL;GO;16;0;2001;RONALDO CAIADO
26975;74813.0;Ronaldo Caiado;PFL;GO;1;1;2001;RONALDO CAIADO
114931;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
103042;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
97576;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
97545;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
51916;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
50374;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
49517;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
49324;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
49322;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
49319;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
48271;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
48209;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
48208;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
48207;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
48206;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
48205;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
48204;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
48203;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
46728;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
46660;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO
46031;74813.0;Ronaldo Caiado;PFL;GO;8;0;2002;RONALDO CAIADO
150037;74813.0;Ronaldo Caiado;PFL;GO;59;0;2003;RONALDO CAIADO
150002;74813.0;Ronaldo Caiado;PFL;GO;53;0;2003;RONALDO CAIADO
146416;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
145216;74813.0;Ronaldo Caiado;PFL;GO;153;0;2003;RONALDO CAIADO
144762;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
144761;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
144759;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
144754;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
144749;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
143578;74813.0;Ronaldo Caiado;PFL;GO;182;0;2003;RONALDO CAIADO
142425;74813.0;Ronaldo Caiado;PFL;GO;24;0;2003;RONALDO CAIADO
142378;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
141035;74813.0;Ronaldo Caiado;PFL;GO;52;0;2003;RONALDO CAIADO
140876;74813.0;Ronaldo Caiado;PFL;GO;41;0;2003;RONALDO CAIADO
140785;74813.0;Ronaldo Caiado;PFL;GO;161;0;2003;RONALDO CAIADO
140557;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
139936;74813.0;Ronaldo Caiado;PFL;GO;44;0;2003;RONALDO CAIADO
139625;74813.0;Ronaldo Caiado;PFL;GO;42;0;2003;RONALDO CAIADO
139624;74813.0;Ronaldo Caiado;PFL;GO;37;0;2003;RONALDO CAIADO
138840;74813.0;Ronaldo Caiado;PFL;GO;161;0;2003;RONALDO CAIADO
137914;74813.0;Ronaldo Caiado;PFL;GO;86;0;2003;RONALDO CAIADO
137702;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
137688;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
137687;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
137653;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
137620;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
134956;74813.0;Ronaldo Caiado;PFL;GO;148;0;2003;RONALDO CAIADO
134378;74813.0;Ronaldo Caiado;PFL;GO;37;0;2003;RONALDO CAIADO
133686;74813.0;Ronaldo Caiado;PFL;GO;43;0;2003;RONALDO CAIADO
133685;74813.0;Ronaldo Caiado;PFL;GO;40;0;2003;RONALDO CAIADO
133576;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
132299;74813.0;Ronaldo Caiado;PFL;GO;16;0;2003;RONALDO CAIADO
132195;74813.0;Ronaldo Caiado;PFL;GO;49;0;2003;RONALDO CAIADO
132125;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
131896;74813.0;Ronaldo Caiado;PFL;GO;38;0;2003;RONALDO CAIADO
131044;74813.0;Ronaldo Caiado;PFL;GO;2;0;2003;RONALDO CAIADO
130462;74813.0;Ronaldo Caiado;PFL;GO;56;0;2003;RONALDO CAIADO
130401;74813.0;Ronaldo Caiado;PFL;GO;42;0;2003;RONALDO CAIADO
128306;74813.0;Ronaldo Caiado;PFL;GO;51;0;2003;RONALDO CAIADO
127721;74813.0;Ronaldo Caiado;PFL;GO;54;0;2003;RONALDO CAIADO
127601;74813.0;Ronaldo Caiado;PFL;GO;1;1;2003;RONALDO CAIADO
127344;74813.0;Ronaldo Caiado;PFL;GO;42;0;2003;RONALDO CAIADO
124969;74813.0;Ronaldo Caiado;PFL;GO;47;0;2003;RONALDO CAIADO
124931;74813.0;Ronaldo Caiado;PFL;GO;45;0;2003;RONALDO CAIADO
124086;74813.0;Ronaldo Caiado;PFL;GO;156;0;2003;RONALDO CAIADO
123447;74813.0;Ronaldo Caiado;PFL;GO;150;0;2003;RONALDO CAIADO
123439;74813.0;Ronaldo Caiado;PFL;GO;143;0;2003;RONALDO CAIADO
123410;74813.0;Ronaldo Caiado;PFL;GO;114;0;2003;RONALDO CAIADO
123407;74813.0;Ronaldo Caiado;PFL;GO;98;0;2003;RONALDO CAIADO
123401;74813.0;Ronaldo Caiado;PFL;GO;160;0;2003;RONALDO CAIADO
123400;74813.0;Ronaldo Caiado;PFL;GO;160;0;2003;RONALDO CAIADO
123398;74813.0;Ronaldo Caiado;PFL;GO;131;0;2003;RONALDO CAIADO
123395;74813.0;Ronaldo Caiado;PFL;GO;88;0;2003;RONALDO CAIADO
123389;74813.0;Ronaldo Caiado;PFL;GO;153;0;2003;RONALDO CAIADO
123386;74813.0;Ronaldo Caiado;PFL;GO;150;0;2003;RONALDO CAIADO
123381;74813.0;Ronaldo Caiado;PFL;GO;155;0;2003;RONALDO CAIADO
123371;74813.0;Ronaldo Caiado;PFL;GO;173;0;2003;RONALDO CAIADO
123369;74813.0;Ronaldo Caiado;PFL;GO;174;0;2003;RONALDO CAIADO
123368;74813.0;Ronaldo Caiado;PFL;GO;175;0;2003;RONALDO CAIADO
123363;74813.0;Ronaldo Caiado;PFL;GO;169;0;2003;RONALDO CAIADO
123358;74813.0;Ronaldo Caiado;PFL;GO;181;0;2003;RONALDO CAIADO
123354;74813.0;Ronaldo Caiado;PFL;GO;178;0;2003;RONALDO CAIADO
123353;74813.0;Ronaldo Caiado;PFL;GO;193;0;2003;RONALDO CAIADO
123337;74813.0;Ronaldo Caiado;PFL;GO;157;0;2003;RONALDO CAIADO
123332;74813.0;Ronaldo Caiado;PFL;GO;156;0;2003;RONALDO CAIADO
123292;74813.0;Ronaldo Caiado;PFL;GO;192;0;2003;RONALDO CAIADO
123290;74813.0;Ronaldo Caiado;PFL;GO;127;0;2003;RONALDO CAIADO
123288;74813.0;Ronaldo Caiado;PFL;GO;174;0;2003;RONALDO CAIADO
123268;74813.0;Ronaldo Caiado;PFL;GO;161;0;2003;RONALDO CAIADO
123262;74813.0;Ronaldo Caiado;PFL;GO;172;0;2003;RONALDO CAIADO
123261;74813.0;Ronaldo Caiado;PFL;GO;173;0;2003;RONALDO CAIADO
123253;74813.0;Ronaldo Caiado;PFL;GO;172;0;2003;RONALDO CAIADO
123251;74813.0;Ronaldo Caiado;PFL;GO;181;0;2003;RONALDO CAIADO
123250;74813.0;Ronaldo Caiado;PFL;GO;181;0;2003;RONALDO CAIADO
123249;74813.0;Ronaldo Caiado;PFL;GO;187;0;2003;RONALDO CAIADO
123248;74813.0;Ronaldo Caiado;PFL;GO;184;0;2003;RONALDO CAIADO
123221;74813.0;Ronaldo Caiado;PFL;GO;175;0;2003;RONALDO CAIADO
123209;74813.0;Ronaldo Caiado;PFL;GO;176;0;2003;RONALDO CAIADO
123207;74813.0;Ronaldo Caiado;PFL;GO;201;0;2003;RONALDO CAIADO
123206;74813.0;Ronaldo Caiado;PFL;GO;176;0;2003;RONALDO CAIADO
123204;74813.0;Ronaldo Caiado;PFL;GO;175;0;2003;RONALDO CAIADO
123202;74813.0;Ronaldo Caiado;PFL;GO;179;0;2003;RONALDO CAIADO
123201;74813.0;Ronaldo Caiado;PFL;GO;181;0;2003;RONALDO CAIADO
123200;74813.0;Ronaldo Caiado;PFL;GO;179;0;2003;RONALDO CAIADO
123198;74813.0;Ronaldo Caiado;PFL;GO;174;0;2003;RONALDO CAIADO
123195;74813.0;Ronaldo Caiado;PFL;GO;179;0;2003;RONALDO CAIADO
123191;74813.0;Ronaldo Caiado;PFL;GO;182;0;2003;RONALDO CAIADO
123190;74813.0;Ronaldo Caiado;PFL;GO;177;0;2003;RONALDO CAIADO
123188;74813.0;Ronaldo Caiado;PFL;GO;145;0;2003;RONALDO CAIADO
123180;74813.0;Ronaldo Caiado;PFL;GO;185;0;2003;RONALDO CAIADO
123171;74813.0;Ronaldo Caiado;PFL;GO;183;0;2003;RONALDO CAIADO
123149;74813.0;Ronaldo Caiado;PFL;GO;191;0;2003;RONALDO CAIADO
123128;74813.0;Ronaldo Caiado;PFL;GO;157;0;2003;RONALDO CAIADO
123125;74813.0;Ronaldo Caiado;PFL;GO;215;0;2003;RONALDO CAIADO
123120;74813.0;Ronaldo Caiado;PFL;GO;199;0;2003;RONALDO CAIADO
123116;74813.0;Ronaldo Caiado;PFL;GO;182;0;2003;RONALDO CAIADO
123106;74813.0;Ronaldo Caiado;PFL;GO;185;0;2003;RONALDO CAIADO
123094;74813.0;Ronaldo Caiado;PFL;GO;178;0;2003;RONALDO CAIADO
123087;74813.0;Ronaldo Caiado;PFL;GO;136;0;2003;RONALDO CAIADO
123080;74813.0;Ronaldo Caiado;PFL;GO;224;0;2003;RONALDO CAIADO
123075;74813.0;Ronaldo Caiado;PFL;GO;189;0;2003;RONALDO CAIADO
123066;74813.0;Ronaldo Caiado;PFL;GO;168;0;2003;RONALDO CAIADO
123024;74813.0;Ronaldo Caiado;PFL;GO;161;0;2003;RONALDO CAIADO
123023;74813.0;Ronaldo Caiado;PFL;GO;158;0;2003;RONALDO CAIADO
123022;74813.0;Ronaldo Caiado;PFL;GO;166;0;2003;RONALDO CAIADO
123021;74813.0;Ronaldo Caiado;PFL;GO;158;0;2003;RONALDO CAIADO
123019;74813.0;Ronaldo Caiado;PFL;GO;208;0;2003;RONALDO CAIADO
123016;74813.0;Ronaldo Caiado;PFL;GO;201;0;2003;RONALDO CAIADO
122894;74813.0;Ronaldo Caiado;PFL;GO;196;0;2003;RONALDO CAIADO
122885;74813.0;Ronaldo Caiado;PFL;GO;146;0;2003;RONALDO CAIADO
122881;74813.0;Ronaldo Caiado;PFL;GO;200;0;2003;RONALDO CAIADO
122868;74813.0;Ronaldo Caiado;PFL;GO;177;0;2003;RONALDO CAIADO
122827;74813.0;Ronaldo Caiado;PFL;GO;168;0;2003;RONALDO CAIADO
122825;74813.0;Ronaldo Caiado;PFL;GO;176;0;2003;RONALDO CAIADO
122822;74813.0;Ronaldo Caiado;PFL;GO;176;0;2003;RONALDO CAIADO
122818;74813.0;Ronaldo Caiado;PFL;GO;169;0;2003;RONALDO CAIADO
122817;74813.0;Ronaldo Caiado;PFL;GO;169;0;2003;RONALDO CAIADO
122815;74813.0;Ronaldo Caiado;PFL;GO;171;0;2003;RONALDO CAIADO
122600;74813.0;Ronaldo Caiado;PFL;GO;153;0;2003;RONALDO CAIADO
122599;74813.0;Ronaldo Caiado;PFL;GO;155;0;2003;RONALDO CAIADO
122470;74813.0;Ronaldo Caiado;PFL;GO;186;0;2003;RONALDO CAIADO
122462;74813.0;Ronaldo Caiado;PFL;GO;150;0;2003;RONALDO CAIADO
122275;74813.0;Ronaldo Caiado;PFL;GO;181;0;2003;RONALDO CAIADO
122142;74813.0;Ronaldo Caiado;PFL;GO;229;0;2003;RONALDO CAIADO
122100;74813.0;Ronaldo Caiado;PFL;GO;179;0;2003;RONALDO CAIADO
122097;74813.0;Ronaldo Caiado;PFL;GO;189;0;2003;RONALDO CAIADO
122085;74813.0;Ronaldo Caiado;PFL;GO;153;0;2003;RONALDO CAIADO
122082;74813.0;Ronaldo Caiado;PFL;GO;104;0;2003;RONALDO CAIADO
