SQ_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;DS_GRAU_INSTRUCAO;DS_OCUPACAO;ST_DECLARAR_BENS;quantidade_bens;patrimonio_total
280002548139;WILSON GRASSI JUNIOR;VETERINÁRIO WILSON GRASSI;DEMOCRATA;MASCULINO;BRANCA;SUPERIOR COMPLETO;VETERINÁRIO;S;1;50000000.0
280002538811;SAMARA MARTINS DA SILVA FEITOSA;SAMARA;UP;FEMININO;PRETA;SUPERIOR COMPLETO;ODONTÓLOGO;S;2;33000.0
280002542548;LUIZ INÁCIO LULA DA SILVA;LULA;PT;MASCULINO;BRANCA;ENSINO FUNDAMENTAL COMPLETO;TORNEIRO MECÂNICO;S;18;4775650.640000001
280002541457;HERTZ DA CONCEICAO DIAS;HERTZ DIAS;PSTU;MASCULINO;PRETA;SUPERIOR COMPLETO;PROFESSOR DE ENSINO FUNDAMENTAL;N;0;0.0
280002551975;EDMILSON SILVA COSTA;EDMILSON COSTA;PCB;MASCULINO;PARDA;SUPERIOR COMPLETO;APOSENTADO (EXCETO SERVIDOR PÚBLICO);S;4;454485.68
280002551544;FLAVIO NANTES BOLSONARO;FLAVIO BOLSONARO;PL;MASCULINO;BRANCA;SUPERIOR COMPLETO;SENADOR;S;9;8186555.829999999
280002540694;RENAN ANTONIO FERREIRA DOS SANTOS;RENAN SANTOS;MISSÃO;MASCULINO;BRANCA;SUPERIOR INCOMPLETO;EMPRESÁRIO;S;4;795089.0
280002552487;RUI COSTA PIMENTA;RUI COSTA PIMENTA;PCO;MASCULINO;BRANCA;SUPERIOR COMPLETO;JORNALISTA E REDATOR;N;0;0.0
280002551932;RONALDO RAMOS CAIADO;RONALDO CAIADO;PSD;MASCULINO;BRANCA;SUPERIOR COMPLETO;MÉDICO;S;14;52557930.98
280002551547;AUGUSTO JORGE CURY;ESCRITOR AUGUSTO CURY;AVANTE;MASCULINO;BRANCA;SUPERIOR COMPLETO;ESCRITOR E CRÍTICO;S;56;242281162.52
280002552484;CLARIANA ZACARKIM BARAO;CLARIANA BARAO;DC;FEMININO;BRANCA;SUPERIOR COMPLETO;ADVOGADO;S;7;1820760.17
280002539826;ROMEU ZEMA NETO;ZEMA;NOVO;MASCULINO;BRANCA;SUPERIOR COMPLETO;EMPRESÁRIO;S;18;178707610.09
280002553884;PABLO HENRIQUE COSTA MARCAL;PABLO MARÇAL;PRTB;MASCULINO;BRANCA;SUPERIOR COMPLETO;DIRETOR DE EMPRESAS;S;43;149986151.74
