SQ_CANDIDATO;NM_URNA_CANDIDATO;cargo;esfera;localidade;inicio;fim;situacao;fonte;url_fonte
280002542548;LULA;Deputado Federal;Federal;São Paulo;1987-02-01;1991-01-31;Encerrado;Câmara dos Deputados — Biografia Luiz Inácio Lula da Silva;https://www.camara.leg.br/deputados/139289/biografia
280002542548;LULA;Presidente da República;Federal;Brasil;2003-01-01;2007-01-01;Encerrado;Biblioteca da Presidência da República;https://biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/biografia
280002542548;LULA;Presidente da República;Federal;Brasil;2007-01-01;2011-01-01;Encerrado;Biblioteca da Presidência da República;https://biblioteca.presidencia.gov.br/presidencia/ex-presidentes/luiz-inacio-lula-da-silva/biografia
280002542548;LULA;Presidente da República;Federal;Brasil;2023-01-01;;Em exercício;Governo Federal — Presidência da República;https://www.gov.br/planalto/pt-br/acompanhe-o-planalto
280002551544;FLAVIO BOLSONARO;Deputado Estadual;Estadual;Rio de Janeiro;2003-02-01;2019-01-31;Encerrado;Senado Federal — Trajetória política;https://www12.senado.leg.br/noticias/materias/2019/01/18/flavio-bolsonaro-psl
280002551544;FLAVIO BOLSONARO;Senador;Federal;Rio de Janeiro;2019-02-01;2027-01-31;Em exercício;Senado Federal — Perfil parlamentar;https://www25.senado.leg.br/web/senadores/senador/-/perfil/5894
280002551932;RONALDO CAIADO;Deputado Federal;Federal;Goiás;1991-02-01;1995-01-31;Encerrado;Câmara dos Deputados — Biografia;https://www.camara.leg.br/deputados/74813/biografia
280002551932;RONALDO CAIADO;Deputado Federal;Federal;Goiás;1999-02-01;2015-01-31;Encerrado;Câmara dos Deputados — Biografia;https://www.camara.leg.br/deputados/74813/biografia
280002551932;RONALDO CAIADO;Senador;Federal;Goiás;2015-02-01;2019-01-31;Encerrado;Câmara dos Deputados — Biografia;https://www.camara.leg.br/deputados/74813/biografia
280002551932;RONALDO CAIADO;Governador;Estadual;Goiás;2019-01-01;2026-03-31;Encerrado;Governo de Goiás — Governantes do Estado;https://goias.gov.br/casacivil/governantes-republica/
280002539826;ZEMA;Governador;Estadual;Minas Gerais;2019-01-01;2022-12-31;Encerrado;Portal MG — Romeu Zema Neto;https://www.mg.gov.br/governador/romeu-zema-neto
280002539826;ZEMA;Governador;Estadual;Minas Gerais;2023-01-01;2026-03-21;Encerrado;Portal MG — Romeu Zema Neto;https://www.mg.gov.br/governador/romeu-zema-neto
