candidato;codigo_materia;identificacao_processo;descricao_identificacao;sigla;numero;ano;ementa;data;autor_principal;outros_autores;temas
FLAVIO_BOLSONARO;136252;7740423;PL 2171/2019;PL;2171;2019;Altera o Código Penal para definir o crime de arrastão.;2019-04-05;Sim;Não;
FLAVIO_BOLSONARO;136390;7743081;PL 2393/2019;PL;2393;2019;Altera o Código Penal para dispor sobre a legítima defesa da sociedade pelo agente de segurança pública.;2019-04-17;Sim;Não;
FLAVIO_BOLSONARO;135938;7733283;PL 1715/2019;PL;1715;2019;Revoga o § 2º do art. 342 do Código Penal para suprimir a possibilidade de extinção de punibilidade pela retratação no crime de falso testemunho ou falsa perícia.;2019-03-21;Sim;Não;
FLAVIO_BOLSONARO;135861;7731793;PEC 23/2019;PEC;23;2019;Altera o art. 17 da Constituição Federal para assegurar a representação parlamentar aos partidos que tenham obtido no mínimo cinco por cento dos votos válidos nas eleições para a Câmara dos Deputados.;2019-03-20;Não;;
FLAVIO_BOLSONARO;136371;7742705;PL 2362/2019;PL;2362;2019;Revoga o Capítulo IV - Da Reserva Legal, da Lei nº 12.651, de 25 de maio de 2012, que dispõe  sobre a proteção da vegetação nativa, para garantir o direito constitucional de propriedade.;2019-04-16;Sim;Não;
FLAVIO_BOLSONARO;136263;7740538;PEC 46/2019;PEC;46;2019;Altera o art. 37 da Constituição Federal, para determinar novo regramento ao provimento de cargos em comissão.;2019-04-09;Não;;
FLAVIO_BOLSONARO;136253;7740432;PL 2167/2019;PL;2167;2019;Altera os incisos III e VI do art. 21 da Lei nº 9.503, de 1997, que “Institui o Código de Trânsito Brasileiro” para disciplinar a aplicação das infrações e penalidades delas decorrentes por excesso de velocidade cometidas por veículos automotores, elétricos, reboques e semirreboques nas vias públicas somente quando aferidas por redutor eletrônico de velocidade fixo dotado de registro de velocidade em “display”, visíveis a distância segura mesmo em dias de visibilidade reduzida, sob pena de nulidade do ato administrativo correspondente.;2019-04-08;Sim;Não;
FLAVIO_BOLSONARO;137025;7758629;R.S 7/2019;R.S;7;2019;Requer apreciação do PLS 191/2017 pelo plenário.;2019-05-29;Não;;
FLAVIO_BOLSONARO;136918;7756612;PL 3071/2019;PL;3071;2019;Altera a Lei 13.756 de 2018 para incluir a Associação Brasileira Beneficente de Reabilitação -ABBR no destino da arrecadação das loterias.;2019-05-22;Sim;Não;
FLAVIO_BOLSONARO;138503;7797678;RQS 750/2019;RQS;750;2019;Voto de aplauso aos atletas da delegação brasileira e ao Comitê Paralímpico do Brasil.;2019-09-03;Não;;
FLAVIO_BOLSONARO;139628;7830951;PEC 183/2019;PEC;183;2019;Altera o art. 49 da Constituição Federal, para dispor sobre a aprovação prévia pelo Congresso Nacional de denúncia a tratado internacional.;2019-10-29;Não;;
FLAVIO_BOLSONARO;149150;8108106;PCE 6/2021;PCE;6;2021;Requer a abertura de procedimento disciplinar c/c inquérito em face do Senador Renan Calheiros, com fundamento nos arts. 17 e 20 da Resolução 20/1993 c/c os arts. 25 e 32, II, do Regimento Interno do Senado Federal.;2021-07-15;Sim;Não;
FLAVIO_BOLSONARO;151329;8184708;PL 4475/2021;PL;4475;2021;Altera o art. 329 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para estabelecer tipos penais qualificados para o crime de resistência.;2021-12-15;Sim;Não;
FLAVIO_BOLSONARO;151330;8184721;PL 4476/2021;PL;4476;2021;Altera o art. 218-A do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para tipificar a conduta de submeter menor de 14 (catorze) anos a presenciar evento cultural ou artístico que contenha nudez ou simule atos de lascívia ou sexo explícito.;2021-12-15;Sim;Não;
FLAVIO_BOLSONARO;152628;8238435;PL 830/2022;PL;830;2022;"Altera a Lei nº 8.069, de 13 de julho de 1990 - Estatuto da Criança e do Adolescente, para aumentar as penas dos crimes previstos nos arts. 240, 241, 241-A a 241-D; bem como incluir a internet entre os possíveis meios de aliciamento, assédio, instigação ou constrangimento e, nesses casos, prever causa de aumento de pena para quem se vale de perfil em redes sociais para interagir com criança ou pratica abuso psicológico.";2022-04-05;Sim;Não;
