idProposicao;idDeputadoAutor;nomeAutor;siglaPartidoAutor;siglaUFAutor;ordemAssinatura;proponente;ano_x;candidato;siglaTipo;numero;ano_y;descricaoTipo;ementa;ementaDetalhada;keywords;dataApresentacao;urlInteiroTeor;ultimoStatus_dataHora;ultimoStatus_descricaoTramitacao;ultimoStatus_descricaoSituacao;ultimoStatus_apreciacao;ultimoStatus_url;tema_principal;temas;situacao;tramitacao;aprovado
25635;74813.0;Ronaldo Caiado;PFL;GO;1;1;1993;RONALDO CAIADO;PL;4171;1993;Projeto de Lei;Dispõe sobre a vacinação dos rebanhos bovino , ovino e bubalino contra a febre aftosa , e dá outras providências;BLOCO 01.;"OBRIGATORIEDADE, VACINAÇÃO, FEBRE AFTOSA, REBANHO, GADO, BOVINO, OVINO, BUFALO, TERRITORIO NACIONAL, PREVISÃO, MINISTÉRIO DA AGRICULTURA, DO ABASTECIMENTO E DA REFORMA AGRÁRIA (1992-1998), FORNECIMENTO, VACINA, CONVENIO, SECRETARIA DE AGRICULTURA, ESTADO, MUNICIPIO,
DISTRITO FEDERAL, FEDERAÇÃO, PRODUTOR RURAL, DISTRIBUIÇÃO, PREÇO,
PRODUTOR, GRATUIDADE, PEQUENO PRODUTOR RURAL, DESCONTO,
MEDIO PRODUTOR RURAL, EXIGENCIA, CADASTRAMENTO, MINISTERIO, CLASSIFICAÇÃO, BANCO CENTRAL DO BRASIL.";1993-09-15T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=74895;1996-10-09T00:00:00;Declaração de Prejudicialidade;Arquivada;Indefinida;;Agricultura, Pecuária, Pesca e Extrativismo;Agricultura, Pecuária, Pesca e Extrativismo;Arquivada;Declaração de Prejudicialidade;False
41111;74813.0;RONALDO RAMOS CAIADO;PFL;GO;1;1;1999;RONALDO CAIADO;PL;356;1999;Projeto de Lei;Projeto de lei que dispõe sobre a indisponibilidade dos bens de vítimas de seqüestro e seus familiares, a criminalização de campanhas para arrecadação de dinheiro para pagamento de resgate e dá outras providências.;;Competência, justiça, determinação, indisponibilidade, bens, patrimônio, família, parente, vítima, seqüestro, autoridade policial, notificação, juiz, solução, levantamento, bens móveis, bens imóveis, ativo financeiro, fixação, valor, necessidade, extorsão, caracterização, crime organizdo, divulgação, campanha, destinação, recolhimento, dinheiro, empréstimo, pagamento, resgate, pena de reclusão, multa, suspensão, funcionamento, pessoa jurídica.;1999-03-23T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=25246;1999-09-20T00:00:00;Não Informado;Arquivada;Indefinida;;Defesa e Segurança;Defesa e Segurança;Arquivada;Não Informado;False
97576;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO;PL;7339;2002;Projeto de Lei;Modifica dispositivos da Lei nº 8.629, de 25 de fevereiro de 1993, que dispõe sobre a Reforma Agrária.;;Alteração, Lei da Reforma Agrária, aviso, proprietário, representante, ingresso, imóvel rural, propriedade particular, publicação, edital, jornal, aumento, área, módulo fiscal, pequena propriedade, média propriedade, cálculo, eficiência, exploração, terras, agricultura, pecuária, proibição, desapropriação, propriedade rural, implantação, projeto, aprovação, órgão público, critérios, informações, fixação, índice, produtividade, região, aprovação, Congresso Nacional.;2002-11-13T17:16:43;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=103231;2015-08-26T00:00:00;Devolução à CCP;Arquivada;Indefinida;;Estrutura Fundiária;Estrutura Fundiária;Arquivada;Devolução à CCP;False
114931;74813.0;Ronaldo Caiado;PFL;GO;1;1;2002;RONALDO CAIADO;PLV;33;2002;Projeto de Lei de Conversão;"Altera as Leis nºs 10.464, de 24 de maio de 2002, 10.177, de 12 de janeiro de 2001, e 10.437, de 25 de abril de 2002; autoriza a concessão de crédito, com recursos dos Fundos Constitucionais de Financiamento do Norte, Nordeste e Centro-Oeste, para aquisição dos títulos do Tesouro Nacional necessários à contratação de operação na forma da Resolução nº 2.471, de 26 de fevereiro de 1968, do Conselho Monetário Nacional, relacionada com dívidas contraídas com recursos de outras fontes; dispõe sobre reconversão de atividades de mutuários com dívidas junto a bancos oficiais federais; e dá outras providências.";;;2002-12-18T10:31:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=227776;2003-03-28T00:00:00;Transformação em Norma Jurídica;Transformado em Norma Jurídica;Indefinida;;Economia;Economia;Transformado em Norma Jurídica;Transformação em Norma Jurídica;True
124931;74813.0;Ronaldo Caiado;PFL;GO;45;0;2003;RONALDO CAIADO;PEC;117;2003;Proposta de Emenda à Constituição;Acrescenta o inciso VI e o § 10º ao Art. 144 da Constituição Federal, criando as polícias da Câmara dos Deputados e do Senado Federal, e dá outras providências.;Altera a Constituição Federal de 1988.;Alteração, Constituição Federal, Segurança Pública, criação, Polícia, Câmara dos Deputados, Senado, competência, policiamento, Legislativo, direção, servidor, cargo de carreira.;2003-07-17T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=148835;2015-03-19T09:46:00;Desarquivamento a Pedido;Arquivada;Proposição Sujeita à Apreciação do Plenário;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1310903;Administração Pública;Administração Pública;Arquivada;Desarquivamento a Pedido;False
124969;74813.0;Ronaldo Caiado;PFL;GO;47;0;2003;RONALDO CAIADO;PEC;118;2003;Proposta de Emenda à Constituição;Acrescenta o § 8º ao art. 150, da Constituição Federal, estabelecendo limites para as alíquotas do imposto de renda incidentes sobre a remuneração dos trabalhadores, empregados ou autônomos.;Altera a Constituição Federal de 1988.;Constituição Federal (1988), Sistema Tributário Nacional, limitação, alíquota, Imposto sobre a Renda da Pessoa Física (IRPF), empregado, trabalhador autônomo, incidência, remuneração, tributação.;2003-07-21T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=148988;2015-03-19T09:46:00;Desarquivamento a Pedido;Arquivada;Proposição Sujeita à Apreciação do Plenário;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1310903;Finanças Públicas e Orçamento;Finanças Públicas e Orçamento;Arquivada;Desarquivamento a Pedido;False
127344;74813.0;Ronaldo Caiado;PFL;GO;42;0;2003;RONALDO CAIADO;PEC;131;2003;Proposta de Emenda à Constituição;Inclui o Cerrado e a Caatinga nos biomas considerados patrimônio nacional, dando nova redação ao §4º do art. 225 da Constituição Federal.;;Inclusão, cerrado, caatinga, patrimônio da União.;2003-08-07T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=152940;2023-01-31T00:00:00;Despacho de Apensação;Tramitando em Conjunto;Proposição Sujeita à Apreciação do Plenário;;Meio Ambiente e Desenvolvimento Sustentável;Meio Ambiente e Desenvolvimento Sustentável;Tramitando em Conjunto;Despacho de Apensação;False
130462;74813.0;Ronaldo Caiado;PFL;GO;56;0;2003;RONALDO CAIADO;PEC;146;2003;Proposta de Emenda à Constituição;Acrescenta o parágrafo 5º ao art. 125 da Constituição Federal.;Dispõe sobre a formação do Conselho da Magistratura dos Tribunais de Justiça e a escolha de seus membros.;Tribunal de Justiça, Conselho de Magistratura, composição, presidente, vice-presidente, corregedor geral, juiz vitalício, representante, Ministério Público Estadual, Ordem dos Advogados do Brasil (OAB), Assembléia Legislativa, supervisão, Justiça Estadual.;2003-08-28T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=158483;2022-11-09T00:00:00;Arquivamento;Arquivada;Proposição Sujeita à Apreciação do Plenário;;Administração Pública;Administração Pública | Direito e Justiça;Arquivada;Arquivamento;False
131896;74813.0;Ronaldo Caiado;PFL;GO;38;0;2003;RONALDO CAIADO;PEC;157;2003;Proposta de Emenda à Constituição;Convoca Assembléia de Revisão Constitucional e dá outras providências.;Convoca Assembléia de Revisão Constitucioal em 1º de fevereiro de 2007.;Fixação, data, convocação, Assembléia Constituinte, Revisão, Reforma Constitucional, membros, Câmara dos Deputados, Senado, prazo máximo, extinção.;2003-09-04T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=160966;2023-01-31T00:00:00;Parecer do(a) Relator(a);Pronta para Pauta;Proposição Sujeita à Apreciação do Plenário;;Processo Legislativo e Atuação Parlamentar;Processo Legislativo e Atuação Parlamentar;Pronta para Pauta;Parecer do(a) Relator(a);False
132195;74813.0;Ronaldo Caiado;PFL;GO;49;0;2003;RONALDO CAIADO;PEC;158;2003;Proposta de Emenda à Constituição;Altera o art. 62 da Constituição Federal, para disciplinar sobre as Medidas Provisórias.;Altera a Constituição Federal de 1988.;Alteração, Constituição Federal, Disposições Constitucionais Transitórias, normas, utilização, edição, Medida Provisória, exclusividade, finanças públicas, criação, extinção, órgão público, Administração Pública, função pública, cargo público, aumento, prazo, validade, publicação, critérios, rejeição, ausência, deliberação, Congresso Nacional, proibição, reedição, disciplinamento, tramitação, Regimento Comum.;2003-09-09T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=161695;2015-03-19T09:46:00;Desarquivamento a Pedido;Arquivada;Proposição Sujeita à Apreciação do Plenário;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1310903;Processo Legislativo e Atuação Parlamentar;Processo Legislativo e Atuação Parlamentar;Arquivada;Desarquivamento a Pedido;False
