idProposicao;idDeputadoAutor;nomeAutor;siglaPartidoAutor;siglaUFAutor;ordemAssinatura;proponente;ano_x;candidato;siglaTipo;numero;ano_y;descricaoTipo;ementa;ementaDetalhada;keywords;dataApresentacao;urlInteiroTeor;ultimoStatus_dataHora;ultimoStatus_descricaoTramitacao;ultimoStatus_descricaoSituacao;ultimoStatus_apreciacao;ultimoStatus_url
246705;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1987;LUIZ INÁCIO LULA DA SILVA;RQA;96;1987;Requerimento de Informações da ANC (1987-88);SOLICITA AO PODER EXECUTIVO INFORMAÇÕES SOBRE A VENDA DA SEDE DO BANCO NACIONAL DE HABITAÇÃO - BNH, PREVISTA NO DECRETO-LEI 2291, DE 21 DE NOVEMBRO DE 1986.;;SOLICITAÇÃO, INFORMAÇÃO, EXECUTIVO, VENDA, SEDE, (BNH), MUNICIPIO, RIO DE JANEIRO, (RJ).;1987-08-18T00:00:00;;1987-11-04T00:00:00;Não Informado;;Indefinida;
246663;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1987;LUIZ INÁCIO LULA DA SILVA;RQA;54;1987;Requerimento de Informações da ANC (1987-88);SOLICITA INFORMAÇÕES AO PODER EXECUTIVO ATRAVES DO GABINETE CIVIL DA PRESIDENCIA DA REPUBLICA, SOBRE NOMEAÇÃO DE REPRESENTANTE DOS TRABALHADORES NO CONSELHO MONETARIO NACIONAL.;INFORMAÇÕES).;SOLICITAÇÃO, INFORMAÇÃO, GABINETE CIVIL, PRESIDENCIA DA REPUBLICA, ESCLARECIMENTO, POVO, MOTIVO, RECUSA, PROPOSTA, MOVIMENTO TRABALHISTA, SINDICATO, NOMEAÇÃO, CANDIDATO, REPRESENTANTE, TRABALHADOR, (CMN).;1987-05-07T00:00:00;;1987-09-08T00:00:00;Não Informado;;Indefinida;
246632;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1987;LUIZ INÁCIO LULA DA SILVA;RQA;23;1987;Requerimento de Informações da ANC (1987-88);SOLICITA INFORMAÇÕES AO PODER EXECUTIVO ATRAVES DO GABINETE CIVIL DA PRESIDENCIA DA REPUBLICA SOBRE CRITERIOS ADOTADOS PELO MINISTERIO DAS COMUNICAÇÕES NA CONCESSÃO DE CANAIS DE RADIO E TV.;INFORMAÇÕES).;SOLICITAÇÃO, INFORMAÇÃO, (MC), CRITERIOS, CONCESSÃO, EMISSORA, RADIO, TELEVISÃO.;1987-05-12T00:00:00;;1987-09-08T00:00:00;Não Informado;;Indefinida;
182438;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1988;LUIZ INÁCIO LULA DA SILVA;PL;788;1988;Projeto de Lei;DISPÕE SOBRE A TRANSFERENCIA DE IMOVEIS FINANCIADOS PELO SISTEMA FINANCEIRO DA HABITAÇÃO, E DA OUTRAS PROVIDENCIAS.;DEVENDO O NOVO ADQUIRENTE ASSUMIR, NAS MESMAS CONDIÇÕES DO CONTRATO ORIGINARIO, O DEBITO NA SITUAÇÃO EM QUE SE ENCONTRAR A EPOCA DA TRANSFERENCIA).;NORMAS, TRANSFERENCIA, IMOVEL, MUTUARIO, (SFH), MANUTENÇÃO, DEBITOS, SALDO DEVEDOR. TRANSFERENCIA, DEBITOS, PRESTAÇÕES VENCIDAS, MUTUARIO, (SFH), CONCLUSÃO, PRAZO, FINANCIAMENTO, HIPOTESE, DOENÇA, DESEMPREGO. APLICAÇÃO, CODIGO DE PROCESSO CIVIL, PROCESSO, COBRANÇA, CREDITO HIPOTECARIO, VINCULAÇÃO, (SFH).;1988-06-28T00:00:00;;1989-04-05T00:00:00;Não Informado;Arquivada;Indefinida;
239364;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1989;LUIZ INÁCIO LULA DA SILVA;RIC;316;1989;Requerimento de Informação;SOLICITA INFORMAÇÕES AO MINISTRO DOS TRANSPORTES SOBRE O ENVOLVIMENTO DO GOVERNO, NA CONSTRUÇÃO DA FERROVIA LESTE-OESTE.;MINISTRO JOSE REINALDO TAVARES).;SOLICITAÇÃO, INFORMAÇÃO, (MT), PARTICIPAÇÃO, GOVERNO FEDERAL, FERROVIA, REGIÃO LESTE, REGIÃO CENTRO OESTE, FORMAÇÃO, CONSORCIO DE EMPRESAS, CAPITAL ESTRANGEIRO, INTERESSE, CONSELHO DELIBERATIVO, (SUDAM), FINANCIAMENTO, OBRA PUBLICA, LICITAÇÃO, ORÇAMENTO, MOEDA ESTRANGEIRA, CONCESSÃO, DIREITOS, EXTRAÇÃO, MADEIRA, MINERIO, DOAÇÃO, TERRAS, EMPRESA PRIVADA.;1989-08-16T00:00:00;;1989-11-23T00:00:00;Não Informado;;Indefinida;
215151;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1989;LUIZ INÁCIO LULA DA SILVA;PL;3700;1989;Projeto de Lei;DISPÕE SOBRE OS PLANOS DE BENEFICIOS E CUSTEIO DA PREVIDENCIA SOCIAL E DA OUTRAS PROVIDENCIAS.;REGULAMENTANDO O DISPOSTO NOS ARTIGOS 201 E 202 DA CONSTITUIÇÃO FEDERAL DE 1988.;"REGULAMENTAÇÃO, CONSTITUIÇÃO FEDERAL, ORGANIZAÇÃO, PLANO DE BENEFICIOS, CUSTEIO, PREVIDENCIA SOCIAL, SAUDE, ASSISTENCIA SOCIAL, PARTICIPAÇÃO, TRABALHADOR, APOSENTADO, GESTÃO, ORGÃOS, SEGURIDADE SOCIAL, COBERTURA, DOENÇA, INVALIDEZ, TEMPO DE SERVIÇO, ACIDENTE DO TRABALHO, DESEMPREGO, MANUTENÇÃO, DEPENDENTE, SEGURADO, BAIXA RENDA, PROTEÇÃO, MATERNIDADE, AUXILIO, PRISÃO, MORTE, PENSÕES, ADMINISTRAÇÃO, SISTEMA NACIONAL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL (SINPAS).  
_DEFINIÇÃO, BENEFICIARIO, SEGURADO OBRIGATORIO, EMPREGADO, EMPREGADO RURAL, TRABALHADOR TEMPORARIO, ATIVIDADE SAZONAL, BRASILEIROS, ESTRANGEIRO, CONTRATAÇÃO, EMPRESA NACIONAL, EXTERIOR, PRESTAÇÃO DE SERVIÇO, MISSÃO DIPLOMATICA PERMANENTE, REPARTIÇÃO CONSULAR, GOVERNO ESTRANGEIRO, ORGANISMO INTERNACIONAL, EMBAIXADA DO BRASIL, EMBAIXADA ESTRANGEIRA, BOLSISTA, ESTAGIARIO, EMPREGADO DOMESTICO, EMPREGADOR, TITULAR, EMPRESA INDIVIDUAL, DIRETOR, SOCIO, TRABALHADOR AUTONOMO, SACERDOTE, GRUPO RELIGIOSO, MEMBROS, INSTITUIÇÃO RELIGIOSA, TRABALHADOR AVULSO, ESTIVADOR, CONFERENTE DE CARGA, PRODUTOR RURAL, PARCEIRO, MEEIRO, ARRENDATARIO RURAL, GARIMPEIRO, PESCADOR ARTESANAL, AGRICULTOR, GARIMPEIRO, CONJUGE, COMPANHEIRA, COMPANHEIRO, FILHO, MAIOR, IDADE, SEGURADO FACULTATIVO.  
_DEFINIÇÃO, DEPENDENTE, SEGURADO, CONJUGE, COMPANHEIRO, COMPANHEIRA, FILHO MENOR, FILHO INVALIDO, DESIGNAÇÃO, PESSOAS, PAIS, IRMÃO, ENTEADO, MENOR, GUARDA, TUTELA, DEPENDENCIA ECONOMICA. _DEFINIÇÃO, BENEFICIO PREVIDENCIARIO, APOSENTADORIA POR INVALIDEZ, APOSENTADORIA POR VELHICE, APOSENTADORIA POR TEMPO DE SERVIÇO, ABONO DE PERMANENCIA EM SERVIÇO, APOSENTADORIA ESPECIAL, AUXILIO DOENÇA, AUXILIO NATALIDADE, SALARIO FAMILIA, SALARIO MATERNIDADE, DEPENDENTE, PENSÃO PREVIDENCIARIA, AUXILIO RECLUSÃO, AUXILIO FUNERAL, PECULIO, SERVIÇO SOCIAL, REABILITAÇÃO PROFISSIONAL, SEGURO DE ACIDENTE, ACIDENTE DO TRABALHO, DOENÇA PROFISSIONAL, RENDA VITALICIA, RENDA MENSAL, PESSOA PORTADORA DE DEFICIENCIA, IDOSO.  _FIXAÇÃO, PERIODO, CARENCIA, CONCESSÃO, BENEFICIO PREVIDENCIARIO, CALCULO, VALOR, BENEFICIO, SALARIO BENEFICIO, APLICAÇÃO, INDICE, REAJUSTAMENTO, POLITICA SALARIAL, PRAZO, PRESCRIÇÃO, PERICIA. NORMAS, AÇÃO CIVIL PUBLICA, PROTEÇÃO, MEIO AMBIENTE, TRABALHO, INTERESSE, TRABALHADOR, MINISTERIO PUBLICO, SINDICATO, ASSOCIAÇÃO DE CLASSE.  
_DEFINIÇÃO, TRATAMENTO ESPECIAL, CONCESSÃO, BENEFICIO PREVIDENCIARIO, SEGURADO, AERONAUTA, JORNALISTA PROFISSIONAL, EX-COMBATENTE.  
_NORMAS, CONTAGEM RECIPROCA, TEMPO DE SERVIÇO, ADMINISTRAÇÃO PUBLICA, ATIVIDADE PRIVADA, ATIVIDADE RURAL, PREVIDENCIA SOCIAL URBANA, PREVIDENCIA SOCIAL RURAL, PREVIDENCIA PRIVADA, COMPENSAÇÃO FINANCEIRA. 
_PROIBIÇÃO, CRIAÇÃO, AUMENTO, VALOR, BENEFICIO PREVIDENCIARIO, INEXISTENCIA, INDICAÇÃO, CUSTEIO, ORÇAMENTO, SEGURIDADE SOCIAL. _PROIBIÇÃO, PENHORA, ARRESTO, SEQUESTRO, BENEFICIO PREVIDENCIARIO, RESSALVA, SENTENÇA JUDICIAL, PRESTAÇÃO DE ALIMENTOS. NORMAS, PAGAMENTO, BENEFICIO PREVIDENCIARIO, SEGURADO, DEFICIENTE MENTAL, EXCEPCIONAL, CONJUGE, PAI, MÃE, TUTOR, CURADOR.  
_NORMAS, DEPOSITO, CONTA CORRENTE, BANCOS, VALOR, BENEFICIO PREVIDENCIARIO, BENEFICIARIO, IDENTIFICAÇÃO. PROIBIÇÃO, RECUSA, RECEBIMENTO, REQUERIMENTO, BENEFICIO PREVIDENCIARIO, FALTA, DOCUMENTO.  
_AUTORIZAÇÃO, CONVENIO, SINDICATO, PREVIDENCIA SOCIAL, REPRESENTAÇÃO, SEGURADO, DEFINIÇÃO, FONTE, CUSTEIO, SEGURIDADE SOCIAL, FINANCIAMENTO, PREVIDENCIA SOCIAL, RECURSOS FINANCEIROS, UNIÃO, ESTADO (ENTE FEDERADO), DISTRITO FEDERAL, MUNICIPIO, CONTRIBUIÇÃO SOCIAL, CONTRIBUIÇÃO PREVIDENCIARIA, EMPREGADOR, TRABALHADOR, FATURAMENTO, LUCRO, EMPRESA, TRABALHADOR AUTONOMO, SEGURADO FACULTATIVO, SALARIO DE CONTRIBUIÇÃO, FOLHA DE PAGAMENTO, DECIMO TERCEIRO SALARIO, RESGATE, DIVIDA, DEBITO PREVIDENCIARIO, RECEITA, CONCURSO DE PROGNOSTICO, LOTERIA, MULTA, CORREÇÃO MONETARIA, JUROS DE MORA, REMUNERAÇÃO, PRESTAÇÃO DE SERVIÇO, ARRECADAÇÃO, FISCALIZAÇÃO, COBRANÇA, TERCEIROS, FORNECIMENTO, ARRENDAMENTO, BENS, PATRIMONIO, DOAÇÃO, SUBVENÇÃO, PERCENTUAL, PREÇO, REFINARIA, GASOLINA, COMBUSTIVEL.  
_DEFINIÇÃO, SALARIO DE CONTRIBUIÇÃO, EXCLUSÃO, SALARIO FAMILIA, AJUDA DE CUSTO, ADICIONAIS, AERONAUTA, PARCELA, PRODUTO IN NATURA, ABONO, FERIAS, INDENIZAÇÃO, AVISO PREVIO, TEMPO DE SERVIÇO, VALE TRANSPORTE, AUXILIO FINANCEIRO, TRANSFERENCIA, LOCAL, TRABALHO, DIARIAS, VIAGEM, PARTICIPAÇÃO NOS LUCROS, BASE DE CALCULO, SALARIO BASE.  
_DEFINIÇÃO, INFRAÇÃO, LEGISLAÇÃO PREVIDENCIARIA, CRIME, SONEGAÇÃO FISCAL, APROPRIAÇÃO INDEBITA, FALSIDADE IDEOLOGICA, ESTELIONATO, CIRCUNSTANCIA AGRAVANTE, INFRATOR, FUNCIONARIO PUBLICO.  
_NORMAS, ARRECADAÇÃO, RECOLHIMENTO, CONTRIBUIÇÃO PREVIDENCIARIA, SEGURIDADE SOCIAL. EXIGENCIA, COMPROVAÇÃO, INEXISTENCIA, DEBITO PREVIDENCIARIO,EMPRESA, CONTRATAÇÃO, PODER PUBLICO, RECEBIMENTO, BENEFICIO FISCAL, INCENTIVO FISCAL, ALIENAÇÃO, BENS IMOVEIS, BENS MOVEIS, REGISTRO, ARQUIVAMENTO, ATO, REDUÇÃO, CAPITAL SOCIAL, EXTINÇÃO, ENTIDADE, EXPEDIÇÃO, ADJUDICAÇÃO, ARREMATAÇÃO, BENS, EXECUÇÃO, CONSTRUÇÃO CIVIL, AVERBAÇÃO, REGISTRO DE IMOVEIS. 
_PRAZO, MINISTÉRIO DA PREVIDÊNCIA E ASSISTÊNCIA SOCIAL (1974-1990), ELABORAÇÃO, PLANO, ALIENAÇÃO, IMOVEL, PREVIDENCIA SOCIAL, APLICAÇÃO, RECURSOS FINANCEIROS, INVESTIMENTO, MELHORIA, INSTALAÇÕES, EQUIPAMENTOS, SEGURIDADE SOCIAL. 
_ISENÇÃO,CONTRIBUIÇÃO PREVIDENCIARIA, COTA PATRONAL, ENTIDADE FILANTROPICA, INSTITUIÇÃO BENEFICENTE, ASSISTENCIA SOCIAL, UTILIDADE PUBLICA. 
_ OBRIGATORIEDADE, PESSOA JURIDICA, DIREITO PUBLICO, ADMINISTRAÇÃO INDIRETA, CONSIGNAÇÃO, ORÇAMENTO, DOTAÇÃO ORÇAMENTARIA, PAGAMENTO, CONTRIBUIÇÃO PREVIDENCIARIA. AUTORIZAÇÃO, DESCONTO, BENEFICIO PREVIDENCIARIO, IMPOSTO DE RENDA NA FONTE, PENSÃO ALIMENTICIA.  
_EXTINÇÃO, REGIME, PREVIDENCIA SOCIAL, EMPREGADOR RURAL, PRODUTOR RURAL, NORMAS, REVISÃO, PROVENTOS, APOSENTADORIA, PENSÃO PREVIDENCIARIA, BENEFICIO PREVIDENCIARIO, PAGAMENTO, DECIMO TERCEIRO SALARIO.";1989-09-28T00:00:00;;1990-06-20T00:00:00;Não Informado;Arquivada;Indefinida;
213469;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1989;LUIZ INÁCIO LULA DA SILVA;PL;3519;1989;Projeto de Lei;DISPÕE SOBRE A CORREÇÃO MONETARIA DOS BENEFICIOS DA PREVIDENCIA E DA OUTRAS PROVIDENCIAS.;ASSEGURANDO O CUMPRIMENTO DO DISPOSTO NO PARAGRAFO TERCEIRO DO ARTIGO 201 DA Constituição Federal de 1988).;NORMAS, CUMPRIMENTO, DISPOSITIVOS, PREVIDENCIA SOCIAL, CONSTITUIÇÃO FEDERAL, CORREÇÃO MONETARIA, BENEFICIO PREVIDENCIARIO, INCIDENCIA, INDICE DA ATUALIZAÇÃO MONETARIA, SALARIO DE CONTRIBUIÇÃO, BASE DE CALCULO, SALARIO BENEFICIO, AUXILIO DOENÇA, APOSENTADORIA POR INVALIDEZ, PENSÃO PREVIDENCIARIA, AUXILIO RECLUSÃO, SEGURADO, INDICAÇÃO, FONTE CUSTEIO. APLICAÇÃO, NORMAS, CONCESSÃO, PENSÃO PREVIDENCIARIA, MARIDO, COMPANHEIRO, IGUALDADE, MULHER, COMPANHEIRA. FIXAÇÃO, VALOR, DECIMO TERCEIRO SALARIO, BENEFICIARIO, EQUIPARAÇÃO, RENDA, DEZEMBRO. PRAZO, PREVIDENCIA SOCIAL, REVISÃO, BENEFICIO PREVIDENCIARIO, PROVENTOS, APOSENTADORIA, PENSÕES, INDICE, CORREÇÃO MONETARIA. OBRIGATORIEDADE, MINISTÉRIO DA PREVIDÊNCIA E ASSISTÊNCIA SOCIAL (1974-1990), PUBLICAÇÃO, DIÁRIO OFICIAL, INDICE, CORREÇÃO MONETARIA, SALARIO DE CONTRIBUIÇÃO, REAJUSTAMENTO, BENEFICIO PREVIDENCIARIO. COMPETENCIA, TRIBUNAL DE CONTAS DA UNIÃO (TCU), AUDITORIA, APURAÇÃO, DIVIDA, UNIÃO FEDERAL, PREVIDENCIA SOCIAL. RESPONSABILIDADE, MINISTRO DE ESTADO, (MPAS), CONTROLE, PRAZO, CONCESSÃO, BENEFICIO PREVIDENCIARIO, INCLUSÃO, JUROS, CORREÇÃO MONETARIA, ATRASO, PAGAMENTO.;1989-08-28T00:00:00;;1990-06-20T00:00:00;Não Informado;Arquivada;Indefinida;
210040;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1989;LUIZ INÁCIO LULA DA SILVA;PL;3144;1989;Projeto de Lei;REGULAMENTA O FUNDO DE GARANTIA DO TEMPO DE SERVIÇO E DA OUTRAS PROVIDENCIAS.;EXIGINDO REPASSE AUTOMATICO DOS DEPOSITOS A CEF, CORRIGINDO MONETARIAMENTE DE ACORDO COM A CADERNETA DE POUPANÇA, CRIANDO CADASTRO UNICO, FIXANDO PRAZO PARA O TERMINO DAS CONTAS INATIVAS, FACILITANDO O SAQUE INCLUSIVE NA DEMISSÃO POR JUSTA CAUSA, ALTERANDO A COMPOSIÇÃO DO CONSELHO CURADOR, DESTINANDO PARTE DOS RECURSOS A HABITAÇÃO POPULAR, CRIANDO UM FUNDO AUXILIAR PARA SUBSIDIAR A AQUISIÇÃO DE CASA PROPRIA POR PARTE DO TRABALHADOR QUE GANHA ATE 05 SALARIOS MINIMOS E CABENDO AO IAPAS E AO SINDICATO DOS TRABALHADORES A FISCALIZAÇÃO DO SISTEMA.;REGULAMENTAÇÃO, FUNDO DE GARANTIA DO TEMPO DE SERVIÇO (FGTS), OBRIGATORIEDADE, EMPREGADOR, DEPOSITO, TRABALHADOR OPTANTE PELO FGTS, CONTA VINCULADA DO FGTS, BANCO OFICIAL, CAIXA ECONÔMICA FEDERAL (CEF), EXIGENCIA, TAXAS, JUROS, CORREÇÃO MONETARIA, EQUIPARAÇÃO, CADERNETA DE POUPANÇA, PRAZO, UNIFICAÇÃO, CADASTRO, PREVENÇÃO, FRAUDE, FACILITAÇÃO, SAQUE, RESCISSÃO, CONTRATO DE TRABALHO, JUSTA CAUSA, FALTA DE JUSTA CAUSA, DESPEDIDA INJUSTA, APLICAÇÃO FINANCEIRA, ATIVIDADE COMERCIAL, AQUISIÇÃO, CASA PROPRIA, EQUIPAMENTOS, PROFISSIONAL AUTONOMO, CASAMENTO, NASCIMENTO, ADOÇÃO, FILHO, TRATAMENTO MEDICO, DOENÇA, QUITAÇÃO, CASA PROPRIA, SISTEMA FINANCEIRO DE HABITAÇÃO (SFH), NECESSIDADE, COMPOSIÇÃO, CONSELHO CURADOR, PRESIDENTE, CAIXA ECONÔMICA FEDERAL (CEF), TRABALHADOR, REPRESENTANTE, CENTRAL SINDICAL, CONGRESSO NACIONAL, EMPREGADOR, EMPRESARIO, CONFEDERAÇÃO NACIONAL DA INDÚSTRIA (CNI), ASSOCIAÇÃO NACIONAL, MUTUARIO, COMPETENCIA, CONSELHO CURADOR, APROVAÇÃO, PROGRAMA, APLICAÇÃO FINANCEIRA, OBJETIVO, REDUÇÃO, DEFICIT, HABITAÇÃO, CONSTRUÇÃO, HABITAÇÃO POPULAR, CRIAÇÃO, FUNDO DE APOIO, ORGÃO AUXILIAR, AUXILIO FINANCEIRO, OBJTIVO, SUBSIDIOS, APLICAÇÃO, ATENDIMENTO, TRABALHADOR, BAIXA RENDA. COMPETENCIA, INSTITUTO DE ADMINISTRAÇÃO FINANCEIRA DA PREVIDÊNCIA E ASSITÊNCIA SOCIAL (IAPAS)(1977-1990), SINDICATO, FISCALIZAÇÃO, RECOLHIMENTO, FUNDO DE GARANTIA DO TEMPO DE SERVIÇO (FGTS), EMPRESA.;1989-08-04T00:00:00;;1989-10-26T00:00:00;Não Informado;Arquivada;Indefinida;
205247;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1989;LUIZ INÁCIO LULA DA SILVA;PL;2627;1989;Projeto de Lei;DISPÕE SOBRE A RECUPERAÇÃO DAS PERDAS SALARIAIS DOS TRABALHADORES E DA OUTRAS PROVIDENCIAS.;;NORMAS, REAJUSTAMENTO, SALARIO, VENCIMENTOS, SOLDO, RECUPERAÇÃO, PERDA, POLITICA SALARIAL, PLANO CRUZADO, BASE DE CALCULO, PERCENTAGEM, VARIAÇÃO, INDICE DE PREÇOS AO CONSUMIDOR, DATA BASE, CATEGORIA PROFISSIONAL, TRABALHADOR, NEGOCIAÇÃO COLETIVA DE TRABALHO, EMPREGADO, EMPREGADOR.;1989-06-15T00:00:00;;1990-06-29T00:00:00;Não Informado;Arquivada;Indefinida;
202054;139289.0;LUIZ INACIO LULA DA SILVA;PT;SP;1;1;1989;LUIZ INÁCIO LULA DA SILVA;PL;2303;1989;Projeto de Lei;DISPÕE SOBRE A TRANSFERENCIA DE IMOVEIS FINANCIADOS PELO SISTEMA FINANCEIRO DA HABITAÇÃO, E DA OUTRAS PROVIDENCIAS.;GARANTINDO AO MUTUARIO O DIREITO DE TRANSFERIR A TERCEIROS O SEU CONTRATO DE FINANCIAMENTO, MANTENDO PARA O NOVO COMPRADOR AS MESMAS CONDIÇÕES DO CONTRATO ORIGINAL, DESDE QUE O MESMO NÃO EXCEDA O LIMITE DE 3500 OTN'S).;NORMAS, GARANTIA, MUTUARIO, (SFH), DIREITOS, TRANSFERENCIA, TERCEIROS, CONTRATO, FINANCIAMENTO, IMOVEL, MANUTENÇÃO, CRITERIOS, INICIO, CONTRATO IMOBILIARIO, VALOR, PRESTAÇÕES, SALDO DEVEDOR, ADQUIRENTE, ABRANGENCIA, LIMITE DE FINANCIAMENTO, INEXISTENCIA, EXCESSO, (OTN), EXIGENCIA, BENEFICIARIO, PREENCHIMENTO, REQUISITOS, CADASTRO, AGENTE FINANCEIRO, AQUISIÇÃO, CASA PROPRIA, SUB ROGAÇÃO. NORMAS, PROCESSO, COBRANÇA, CREDITO HIPOTECARIO, VINCULAÇÃO, (SFH), OBEDIENCIA, CODIGO DE PROCESSO CIVIL.;1989-05-24T00:00:00;;1991-03-08T00:00:00;Não Informado;Arquivada;Indefinida;
