SQ_CANDIDATO;NM_URNA_CANDIDATO;codigo_documento_tse;url_proposta_governo;fonte_proposta_governo;url_catalogo_tse;tipo_documento;acesso_publico
280002552484;CLARIANA BARAO;280017113380;https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/doc/280017113380;Tribunal Superior Eleitoral — DivulgaCandContas;https://dadosabertos.tse.jus.br/pt_BR/dataset/candidatos-2026;PDF;True
280002551975;EDMILSON COSTA;280017107286;https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/doc/280017107286;Tribunal Superior Eleitoral — DivulgaCandContas;https://dadosabertos.tse.jus.br/pt_BR/dataset/candidatos-2026;PDF;True
280002551547;ESCRITOR AUGUSTO CURY;280017125643;https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/doc/280017125643;Tribunal Superior Eleitoral — DivulgaCandContas;https://dadosabertos.tse.jus.br/pt_BR/dataset/candidatos-2026;PDF;True
280002551544;FLAVIO BOLSONARO;280017104726;https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/doc/280017104726;Tribunal Superior Eleitoral — DivulgaCandContas;https://dadosabertos.tse.jus.br/pt_BR/dataset/candidatos-2026;PDF;True
280002541457;HERTZ DIAS;280016998007;https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/doc/280016998007;Tribunal Superior Eleitoral — DivulgaCandContas;https://dadosabertos.tse.jus.br/pt_BR/dataset/candidatos-2026;PDF;True
280002542548;LULA;280017016005;https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/doc/280017016005;Tribunal Superior Eleitoral — DivulgaCandContas;https://dadosabertos.tse.jus.br/pt_BR/dataset/candidatos-2026;PDF;True
280002553884;PABLO MARÇAL;280017134368;https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/doc/280017134368;Tribunal Superior Eleitoral — DivulgaCandContas;https://dadosabertos.tse.jus.br/pt_BR/dataset/candidatos-2026;PDF;True
280002540694;RENAN SANTOS;280017002789;https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/doc/280017002789;Tribunal Superior Eleitoral — DivulgaCandContas;https://dadosabertos.tse.jus.br/pt_BR/dataset/candidatos-2026;PDF;True
280002551932;RONALDO CAIADO;280017106566;https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/doc/280017106566;Tribunal Superior Eleitoral — DivulgaCandContas;https://dadosabertos.tse.jus.br/pt_BR/dataset/candidatos-2026;PDF;True
280002552487;RUI COSTA PIMENTA;280017113417;https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/doc/280017113417;Tribunal Superior Eleitoral — DivulgaCandContas;https://dadosabertos.tse.jus.br/pt_BR/dataset/candidatos-2026;PDF;True
280002538811;SAMARA;280017119534;https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/doc/280017119534;Tribunal Superior Eleitoral — DivulgaCandContas;https://dadosabertos.tse.jus.br/pt_BR/dataset/candidatos-2026;PDF;True
280002548139;VETERINÁRIO WILSON GRASSI;280017075366;https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/doc/280017075366;Tribunal Superior Eleitoral — DivulgaCandContas;https://dadosabertos.tse.jus.br/pt_BR/dataset/candidatos-2026;PDF;True
280002539826;ZEMA;280016919931;https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/doc/280016919931;Tribunal Superior Eleitoral — DivulgaCandContas;https://dadosabertos.tse.jus.br/pt_BR/dataset/candidatos-2026;PDF;True
