"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;1;13;"Terreno";"TERRENO EUSÉBIO 1";"20000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002538811;2;41;"Caderneta de poupança";"POUPANÇA";"4000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002538811;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UNO VIVACE 2016";"29000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;4;29;"Outros bens móveis";"MÚTUO";"55000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;2;29;"Outros bens móveis";"MÚTUO";"100000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;3;13;"Terreno";"TERRENO EUSÉBIO 2";"31537,50";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;5;29;"Outros bens móveis";"MÚTUO";"2735055,57";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;7;32;"Quotas ou quinhões de capital";"QUOTAS DE CAPITAL SOCIAL EMPRESARIAL 5";"69000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;6;32;"Quotas ou quinhões de capital";"QUOTAS DE CAPITAL SOCIAL EMPRESARIAL 1";"11432,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;10;45;"Aplicação de renda fixa (CDB, RDB e outros)";"APLICAÇÃO RENDA FIXA";"4176164,46";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;9;49;"Outras aplicações e Investimentos";"APLICAÇÕES";"999918,30";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;8;15;"Sala ou conjunto";"SALA COMERCIAL FORTALEZA 2";"140000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;11;45;"Aplicação de renda fixa (CDB, RDB e outros)";"APLICAÇÃO RENDA FIXA";"301139,29";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;12;29;"Outros bens móveis";"MÚTUO";"10000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;13;41;"Caderneta de poupança";"POUPANCA ITAU UNIBANCO S.A.";"5252,80";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;14;61;"Depósito bancário em conta corrente no País";"BB - CONTA CORRENTE";"613,24";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;15;45;"Aplicação de renda fixa (CDB, RDB e outros)";"PREVIDÊNCIA";"1533001,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;16;49;"Outras aplicações e Investimentos";"FUNDO DE INVESTIMENTO";"403805,63";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;18;61;"Depósito bancário em conta corrente no País";"XP - SALDO EM CONTA CORRENTE";"4207,79";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;17;49;"Outras aplicações e Investimentos";"APLICAÇÕES";"46216,22";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;19;49;"Outras aplicações e Investimentos";"FUNDO DE INVESTIMENTO";"293322,23";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;20;29;"Outros bens móveis";"MÚTUO";"745000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;21;29;"Outros bens móveis";"MÚTUO";"494854,06";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;22;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"TOYOTA HILUX -  ANO 2017";"299890,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;24;29;"Outros bens móveis";"MÚTUO";"226550,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;25;32;"Quotas ou quinhões de capital";"QUOTAS DE CAPITAL SOCIAL EMPRESARIAL 3";"115000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;23;31;"Ações (inclusive as provenientes de linha telefônica)";"DEPOSITO BANCÁRIO EXTERIOR US$ 1.802.002,00";"9914254,60";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;28;31;"Ações (inclusive as provenientes de linha telefônica)";"AÇÕES EMPRESA EXTERIOR US$25.000";"139497,50";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;26;49;"Outras aplicações e Investimentos";"APLICAÇÕES";"100001,05";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;27;15;"Sala ou conjunto";"SALA COMERCIAL FORTALEZA 1";"140000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;31;29;"Outros bens móveis";"MÚTUO";"894766,50";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;29;32;"Quotas ou quinhões de capital";"QUOTAS DE CAPITAL SOCIAL EMPRESARIAL 2";"4206000,00";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;30;49;"Outras aplicações e Investimentos";"APLICAÇÕES";"98,20";"18/08/2026";"21:22:25"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002539825;34;45;"Aplicação de renda fixa (CDB, RDB e outros)";"APLICAÇÃO RENDA FIXA";"84642,25";"18/08/2026";"21:22:25"
